name,company,region,payment_type,price
"('Термос пищевой 7 литров',)",ProPosuda,Караганда,"Наличными, Безналичный расчет",3500,['8 (775) 643-16-35']
"('VETTA Термос ланч-бокс для вторых блюд стеклянная \nколба 1,00л, 2 цвета, A610',)",ООО ТД «Барс НСК»,Новосибирск,"Безналичный расчет, Наличными",2686.9,"['+7 (953) 763-12-18', '+7 (383) 312-04-24 доб. 5']"
"('Термокружка «Starbucks»',)",Мечта Кондитера,Алматы,"Безналичный расчет, Наличными",2700,"['+7 (747) 805-20-53', '+7 (708) 100-63-01']"
"('Детский термос (250 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4600,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос с узким горлом',)","Интернет-магазин ""Фишка""",Алматы,Безналичный расчет,11900,"['+7 (777) 364-54-71', '+7 (747) 118-27-41']"
"('3-х секционный ланчбокс для еды ',)",Жетысу/Семиречье,Алматы,"Наличными, Безналичный расчет",2500,"['+7 (727) 225-45-55', '+7 (747) 777-87-63']"
"('Термос вакуумный «Sports» [350/500 мл] SZM-8063 (Чёрный с голубым / 500 мл)',)",StarShop.kz - уникальные вещи с доставкой на дом,Алматы,"Наличными, Банковской картой VISA, MASTERCARD, AMEX",3990,"['+7 (727) 237-98-88', '+7 (775) 606-07-45', '+7 (717) 269-58-88', '+7 (712) 295-04-44', '+7 (729) 246-86-66']"
"('ВОЛЮМ Стальной термос',)","Интернет-магазин ""Дом Икеа"" Товары для дома от Икеа в Алмате, Караганде и Астане",Караганда,"Наложенный платеж для городов Астана и Караганда, Наличными",4312.8,"['+7 (775) 782-10-30', '+7 (702) 920-59-31']"
"('Термос BERG HOFF 1.5л. Алматы',)","""1000 и 1 мелочь!""",Алматы,"Безналичный расчет, Наличными",4500,"['+7 (771) 446-43-16', '+7 (727) 327-06-14', '+7 (707) 111-54-48', '+7 (705) 550-69-22']"
"('Термос пищевой 3,7л',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",9900,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос черный ',)",ИП Бабенко,Алматы,"денежные переводы western union или золотая корона, Наличными",11000,"['+7 (727) 273-01-12', '+7 (727) 375-91-40', '+7 (747) 283-87-05']"
"('Термос ""Достопримечательности"", 500 мл, 201 сталь, сохраняет тепло 10 ч, 8.5х24 см',)", Supermarket-Almaty,Алматы,"Наличными, Безналичный расчет",3378,"['+7 (702) 762-01-40', '+7 (700) 964-45-18', '+7 (700) 964-45-19']"
"('Термос Maestro MR-1630-75, 0.75л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",3465,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('Термос для еды  EMSA 514536 Rocket  (1,4 л)',)",Техно-Строй-Астана,Астана,"Перевод денежных средств на карту, Оплата на банковский счет компании.",11180,"['+7 (717) 246-64-35', '+7 (777) 355-81-64', '+7 (707) 585-89-19', '+7 (717) 239-65-68']"
"('Термос Арктика 110-2200 Taiga с узким горлом, 2.0л, пробка без кнопки с термоизолятором, с ручкой',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",19921.5,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Кофейник-термос, нержавеющая сталь, 1,5л',)",Интернет-магазин Coffeemag.kz,Алматы,"Наличными, Безналичный расчет",15600,['+7 (778) 666-11-33']
"('Термос классический с клапаном, 500 мл, зеленый Camping. PALISAD',)",Дарын - добрые вещи для добрых людей,Алматы,"Наличными. Только в Алматы., QIWI, пополнение кошелька",2400,"['+7 (727) 224-46-66', '+7 (708) 603-56-26']"
"('9671 FISSMAN Термокружка 500 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",6000,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос-фляжка Orion 0.5л',)",CDC-SHOP.KZ,Алматы,"Наличными, Безналичный расчет",7490,"['+7 (727) 225-08-89', '+7 (747) 949-42-29']"
"('Термос 500мл Be brave,(+ситечко), держит тепло 8ч, микс 7*21см',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",5733,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос с кружками CAMEL KING 1 л. в ассортименте',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",1500,['+7 (747) 164-07-92']
"('Термос LAPLAYA MERCURY ACTIVE SPORT 0.5 л. красный',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",4170,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос для пищи с широким горлом (1400 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",9600,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('- Термос Plain 750',)",ТОО «БРЕРАС»,Тараз,"Яндекс.Касса, Безналичный расчет",7650,['+7 (708) 455-73-77']
"('Термос 0,75л',)",Qwerty,Алматы,"Оплата наличными, Банковский платеж",2000,"['+7 (776) 220-01-82', '+7 (727) 329-01-82']"
"('Термос Thermos JNL 502 SBR с узким горлом, 0.5л, пробка-крышка с кнопкой и откидным механизмом, красный (193507)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",16689.6,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос Maestro MR-1641, 450мл',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",3240,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('Термос 500мл фруктовая серия',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",1500,['+7 (747) 164-07-92']
"('Термос',)",AiaSam.kz,Алматы,"Наличными, Безналичный расчет",2900,['+7 (707) 110-48-33']
"('Термос Панда, 350 мл',)","Интернет - магазин ""SaleZone.kz""",Алматы,"Наличными, Безналичный расчет",2200,"['+7 (707) 192-11-18', '+7 (707) 493-46-47']"
"('ТВН-36 СССР термос армейский, 36 л, Цвет: Зелёный',)",ТОО Контейнер 24,Алматы,"Наличными, Безналичный расчет",39800,"['+7 (705) 333-61-11', '+7 (775) 327-17-88']"
"('Термос ""Цветок"" с 1 кружкой, 3.2 л, 15х41.5 см, микс',)",Сима-ленд 2,Екатеринбург,"Наличными, Банковской картой",5191.67,['+7 (707) 377-86-76']
"('Универсальный термос с широким горлом ',)","Интернет-магазин ""Фишка""",Алматы,Безналичный расчет,9400,"['+7 (777) 364-54-71', '+7 (747) 118-27-41']"
"('Термос',)","ИП ""Profi-Print""",Алматы,Безналичный расчет,5900,"['+7 (777) 547-77-58', '+7 (777) 547-77-58', '+7 (707) 337-37-19']"
"('Термос LAPLAYA UNIVERSUM',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",5800,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Детский термос для пищи (350 мл), зеленый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",6600,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос бутылочка 0,5 л Кролик',)",Homeline ,Алматы,"Наложенный платеж, Безналичный расчет",3200,['+7 (727) 323-11-09']
"('9663 FISSMAN Термос 350 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",3750,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос походный металлический 200 мл.',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",3200,['+7 (747) 164-07-92']
"('Термос Биосталь-Спорт NGP-1500 P с универсальным горлом, 1.5л, пробка без кнопки, ручка, ремень тканевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8265,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос 1л. фиолетовый MOBIlITY (EMSA, Германия)',)",МИР ДОМА,Алматы,Оплата и возврат:,18000,"['+7 (701) 299-80-60', '+7 (700) 399-80-60']"
"('Ланч бокс 1,4 л с секциями, ланч бокс для еды',)","Это Интернет магазин, где более 20 000 полезных товаров",Алматы,"Наличными, Безналичный расчет",5900,"['+7 (778) 389-96-39', '+7 (707) 392-88-25', '+7 (705) 127-71-33', '+7 (727) 229-17-66', '+7 (777) 200-61-81']"
"('Термос Fruits, 500 мл., Алматы',)",интернет-магазин оптово-розничной торговли,Алматы,"Безналичный расчет, Наличными",7800,['+7 (705) 841-66-22']
"('Термос Maestro MR-1633-100, 1.0л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",4671,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('Термос Viomi Stainless Vacuum Cup Чёрный',)",GET.KZ,Алматы,Наличными,10900,['+7 (771) 447-14-27']
"('Термос Believe in yourself (500 мл), Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",3680,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос сититерм вакуумный,бытовой тм Арктика 500мл (викинг)',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",6650,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос 500мл Happy animals, держит тепло 8ч, микс 6,5*6,5*21.5см',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",4817,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос LAPLAYA FOREST',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",6200,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Кофейник-термос, нержавеющая сталь, пластик, 2л',)",Интернет-магазин Coffeemag.kz,Алматы,"Наличными, Безналичный расчет",9300,['+7 (778) 666-11-33']
"('Термос (1200 мл), розовый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",17800,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос вакуумный Jun Peng GB/T11416 (1.6)',)",StarShop.kz - уникальные вещи с доставкой на дом,Алматы,"Наличными, Банковской картой VISA, MASTERCARD, AMEX",3690,"['+7 (727) 237-98-88', '+7 (775) 606-07-45', '+7 (717) 269-58-88', '+7 (712) 295-04-44', '+7 (729) 246-86-66']"
"('Большой термос 3 л.',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",4500,['+7 (747) 164-07-92']
"('Термос классический с клапаном 500мл Palisad',)","ТОО ""Эльдорадо - Казахстан""",Актобе,"Безналичный расчет, Наложенный платеж",2890,"['+7 (713) 290-58-05', '+7 (771) 807-27-07', '+7 (713) 290-81-32', '+7 (771) 807-27-17', '+7 (771) 807-27-37']"
"('Термос Амет Дорожный DS 1с670 с широким горлом, 1.25л, пробка без кнопки, ремень тканевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8504.4,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос питьевой Амет 1л.',)","ИП""Турпоход""",Алматы,Наличными,7500,['+7 (705) 987-69-89']
"('Термос Сититерм Викинг',)","Интернет-магазин ""Фишка""",Алматы,Безналичный расчет,7050,"['+7 (777) 364-54-71', '+7 (747) 118-27-41']"
"('Термос из нержавеющей стали BergHOFF SA555',)",Интернет-гипермаркет Верный,Алматы,"На кредитную карту, Qiwi кошелек",6060,"['+7 (747) 823-03-22', '+7 (727) 267-38-40', '+7 (778) 681-91-52']"
"('Термос Амет ""Премьер-Н"", 0,5 л.',)",Группа интернет-магазинов GiX,Алматы,"Оплата картой Visa, Mastercard - Wooppay, Наложенный платеж",9000,"['+7 (727) 329-16-95', '+7 (777) 022-34-45']"
"('Термос VINZER 89145 1,7 л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",13280,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('263248/термос 1.0 л.+ 2 кружки по 220 мл. Toro',)","ИП ""SkidkaKZ""",Алматы,"Наличными, Безналичный расчет",7490,['+7 (707) 774-41-40']
"('Термос LAPLAYA FOREST',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",7100,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Армейские термосы по ГОСТу',)",ТОО Контейнер Снаб,Алматы,"Купить в кредит (Home Credit), Наличными",23500,"['+7 (775) 327-17-88', '+7 (727) 317-41-15', '+7 (778) 996-95-83']"
"('9673 FISSMAN Термос 350 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",6000,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Детский термос (250 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4600,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос для дома 2 л. в ассортименте',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",2000,['+7 (747) 164-07-92']
"('Happy gifts Термос вакуумный ""Flask"",сталь с покрытием софт тач, зеленый, 500 мл.',)",ТОО «БРЕРАС»,Тараз,"Яндекс.Касса, Безналичный расчет",6921,['+7 (708) 455-73-77']
"('Термос Mallony SE-1200B с широким горлом, 1.2л, пробка с кнопкой (073035)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",5511.9,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос DEXX для напитков, 1000мл, 48000-1000',)","ТОО ""AKZ Trade""",Алматы,"Безналичный расчет, Наличными",4190,"['+7 (727) 317-87-47', '+7 (707) 151-57-87', '+7 (747) 744-49-21']"
"('Термос туристический со складной ручкой, 1000 мл Camping. PALISAD',)",Дарын - добрые вещи для добрых людей,Алматы,"Наличными. Только в Алматы., QIWI, пополнение кошелька",8500,"['+7 (727) 224-46-66', '+7 (708) 603-56-26']"
"('Термос Maestro MR-1631-120N, 1.2л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",6201,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('Термос ""Вояж"" 500мл, синий',)",ТОО «АртPrintTrade»,Астана,"Наличными, Безналичный расчет",4793.99,"['+7 (705) 414-95-54', '+7 (717) 267-75-45', '+7 (717) 257-34-65', '+7 (717) 257-35-37', '+7 (717) 220-02-06']"
"('Термос ""Рыбак и рыба"", 750 мл',)",Сима-ленд 3,Екатеринбург,"Банковской картой, Безналичным переводом",3920,['+7 (707) 377-86-76']
"('Термос 500мл Chapyy Joy, держит тепло 8ч, микс 6,5*6,5*21.5см',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",4817,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос LAPLAYA UNIVERSUM',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",9900,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос 2 л. в ассортименте',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",2000,['+7 (747) 164-07-92']
"('Термос (1200 мл), оранжевый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",17800,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос с узким горлом',)","Интернет-магазин ""Фишка""",Алматы,Безналичный расчет,12300,"['+7 (777) 364-54-71', '+7 (747) 118-27-41']"
"('Термосы Love Taste',)",Интернет-магазин Shoppify,Алматы,"Наложенный платеж, Безналичный расчет",3500,"['+7 (777) 680-87-77', '+7 (701) 255-12-91']"
"('Термос ""Свежесть фруктов"", 350 мл, микс',)",Сима-ленд 2,Екатеринбург,"Наличными, Банковской картой",2217.94,['+7 (707) 377-86-76']
"('Термос бытовой, вакуумный, питьевой тм Арктика 500 мл, арт 102-500 (каралловый)',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",5000,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос Thermos Everynight-50 с узким горлом, 0.5л, пробка без кнопки, кофейный (127187)',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8812.2,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос EMSA 618701600 Senator (0,7 л)',)",Техно-Строй-Астана,Астана,"Перевод денежных средств на карту, Оплата на банковский счет компании.",11060,"['+7 (717) 246-64-35', '+7 (777) 355-81-64', '+7 (707) 585-89-19', '+7 (717) 239-65-68']"
"('Кофейник-термос, сталь, пластик, 2л',)",Интернет-магазин Coffeemag.kz,Алматы,"Наличными, Безналичный расчет",16000,['+7 (778) 666-11-33']
"('Термос 0,35л',)",Qwerty,Алматы,"Оплата наличными, Банковский платеж",1400,"['+7 (776) 220-01-82', '+7 (727) 329-01-82']"
"('Большой термос для дома 3,5 л. в ассортименте',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",3500,['+7 (747) 164-07-92']
"('Термос LAPLAYA UNIVERSUM',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",4500,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Maestro MR-1630-50, 0.5л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",2745,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('9752 FISSMAN Термос 260 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",4200,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Детский термос (1000 мл), желтый FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",7300,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос Биосталь-Авто NRP-1200 с широким горлом, 1.2л, пробка без кнопки, термочехол ',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8892,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термосы, термокружки, бутылки для воды (ОПТ)',)","Магазин подарков ""Expression"" (Экспрешн)",Алматы,"Наличными, Безналичный расчет",792,['+7 (701) 100-41-45']
"('Термос для чая High Grade Vacuum Flask 0,5 L с чехлом',)","Это Интернет магазин, где более 20 000 полезных товаров",Алматы,"Наличными, Безналичный расчет",1890,"['+7 (778) 389-96-39', '+7 (707) 392-88-25', '+7 (705) 127-71-33', '+7 (727) 229-17-66', '+7 (777) 200-61-81']"
"('Термос из нержавеющей стали BergHOFF SA555 (1,5)',)",StarShop.kz - уникальные вещи с доставкой на дом,Алматы,"Наличными, Банковской картой VISA, MASTERCARD, AMEX",4990,"['+7 (727) 237-98-88', '+7 (775) 606-07-45', '+7 (717) 269-58-88', '+7 (712) 295-04-44', '+7 (729) 246-86-66']"
"('Термос Sport  (Спорт), 600 мл, Алматы',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",3750,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос вакуумный с кружкой 500 ml в ассортименте',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",1200,['+7 (747) 164-07-92']
"('Термос My bottle My color 0,33 мл розовый',)","ООО ""ДИРОКС""",Алматы,"Наличными, Безналичный расчет",1642,['+7 (727) 349-50-69']
"('Детский термос',)",M-market,Алматы,Payoneer,4300,['+7 (727) 921-97-80']
"('Фляга-термос ARCTICA',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",19100,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос Maestro MR-1630-75, 0.75л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",4185,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('Термос Сититерм',)","Интернет-магазин ""Фишка""",Алматы,Безналичный расчет,7050,"['+7 (777) 364-54-71', '+7 (747) 118-27-41']"
"('Термос Амет Дорожный DN 1с673 с узким горлом, 1.25л, пробка без кнопки, ремень тканевый',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",8316.3,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос 1,5L',)",Kazaq Tpade,Алматы,"Kaspi Gold, Наличными",3218,['+7 (771) 452-57-62']
"('Детский термос (250 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4500,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос 350мл Полосы, держит тепло 8ч, микс 6,5*6,5*19см',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",4570,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос с ситом 480 ml в ассортименте',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",1500,['+7 (747) 164-07-92']
"('БЕХОВД Термос, черный',)","ТОО ""NEOСОМ trade""",Алматы,"Наличными, Безналичный расчет",4000,"['+7 (727) 355-53-03', '+7 (727) 355-53-03 доб. 521', '+7 (717) 247-65-47 доб. 421', '+7 (723) 291-20-01 доб. 321', '+7 (712) 271-67-00 доб. 521', '+7 (727) 355-11-05']"
"('Термокружка ""Penguin"" BK-64 370мл',)",Sunriseoutdoor & 1001SHOP,Астана,Наличными,4000,"['+7 (701) 513-51-50', '+7 (778) 974-78-60', '+7 (707) 189-96-30']"
"('Термос универсальный, туристический со складной ручкой, 1500 мл //PALISAD Camping',)",ТОО «Береке Азия курылыс»,Алматы,"Наличными, Безналичный расчет",8886,"['+7 (707) 851-06-05', '+7 (708) 355-92-23', '+7 (708) 258-88-22', '+7 (727) 294-18-51']"
"('Армейские термосы по ТУ',)",ТОО Контейнер 24,Алматы,"Наличными, Безналичный расчет",23500,"['+7 (705) 333-61-11', '+7 (775) 327-17-88']"
"('Кружка-Термос LAPLAYA UNIVERSUM #TRM3000',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",2800,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('9720 FISSMAN Термокружка 500 мл (стальной корпус со стальной колбой)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",6400,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Happy gifts Термос вакуумный ""Flask"",сталь с покрытием софт тач, синий, 500 мл.',)",ТОО «БРЕРАС»,Тараз,"Яндекс.Касса, Безналичный расчет",6921,['+7 (708) 455-73-77']
"('Термос Биосталь NB-1000 P-G с узким горлом, 1.0л, пробка с кнопкой, c зеленой силиконовой вставкой',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",6213,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос бытовой, вакуумный питьевой в кожаной оплетке, 1000 мл Хаки',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",8150,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос Maestro MR-1631-100N, 1.0л',)","ТОО ""TEXNOCOM"" - мы работаем для Вас!",Усть-Каменогорск,"Наличными, Безналичный расчет",5895,"['+7 (723) 224-15-84', '+7 (723) 224-14-59', '+7 (705) 282-54-29']"
"('Набор: термос бытовой, вакуумный, питьевой 1000 мл + 2 кружки невакуумные 300 мл, тм ""Арктик',)",Сима-Ленд 4,Екатеринбург,"Банковской картой, Безналичный расчет",9097.79,['+7 (707) 377-86-76']
"('Термос для пищи с широким горлом (2000 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",10500,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
"('Термос классический походный 500 мл.',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",1200,['+7 (747) 164-07-92']
"('Термос пластиковый 10 -12 литров',)","ТОО ""БТА Снабжение"" ",Алматы,"Наличными, Безналичный расчет",6500,"['+7 (708) 757-22-47', '+7 (701) 315-88-77']"
"('Кофейник-термос, нержавеющая сталь, пластик, 2л',)",Интернет-магазин Coffeemag.kz,Алматы,"Наличными, Безналичный расчет",27500,['+7 (778) 666-11-33']
"('Термос KOVEA ONE-TOUCH SLIM',)", PRO-KOMFORT,Алматы,"Наличными, Безналичный расчет",4800,"['+7 (777) 014-58-53', '+7 (727) 221-79-03']"
"('Термос ""Шторм""',)","Интернет-магазин ""Фишка""",Алматы,Безналичный расчет,17800,"['+7 (777) 364-54-71', '+7 (747) 118-27-41']"
"('Термос Irit IRH-110 с узким горлом, 0.75л, пробка без кнопки',)",Bazzar Мoskva,Москва,"Предоплата банковской картой (Visa / Mastercard), Предоплата через электронный кошелек (Qiwi, Яндекс, WM)",3648,"['+7 (499) 404-26-48', '+7 (968) 954-16-63']"
"('Термос Sports 500 мл. с карабином трубочкой',)",Интернет-магазин IVI,Алматы,"Наличными, Безналичный расчет",1800,['+7 (747) 164-07-92']
"('Термос Амет ""Турист"", 1л.',)",Группа интернет-магазинов GiX,Алматы,"Оплата картой Visa, Mastercard - Wooppay, Наложенный платеж",9500,"['+7 (727) 329-16-95', '+7 (777) 022-34-45']"
"('Термос классический с клапаном, 750 мл Camping. PALISAD',)",Дарын - добрые вещи для добрых людей,Алматы,"Наличными. Только в Алматы., QIWI, пополнение кошелька",2800,"['+7 (727) 224-46-66', '+7 (708) 603-56-26']"
"('Детский термос (480 мл) FISSMAN (Дания)',)",MaryDon,Алматы,"Наличными, Безналичный расчет",4400,"['+7 (747) 873-76-75', '+7 (777) 515-02-40', '+7 (747) 873-76-75']"
