name,company,region,payment_type,price
"('Термос универсальный, туристический со складной ручкой, 1500 мл //PALISAD Camping',)","Protool.kz - продажа электроинструмента, ручные строительные и садовые инструменты",Алматы,"Оплата на карточку Kaspi, Оплата картой Visa, Mastercard - Wooppay",11616,"['+7 (727) 220-77-67', '+7 (727) 220-93-14', '+7 (775) 911-99-99', '+7 (707) 996-03-88', '+7 (708) 623-46-22']"
"('Термос 1 литр, туристический со складной ручкой, PALISAD Camping, 69532',)","Инструменты, садово-огородный инвентарь и электро-оборудование в Masternet.kz",Алматы,"Наложенный платеж. Цена будет выше на 4%., Оплата на карту АТФ Банк",7198,"['+7 (775) 371-77-93', '+7 (727) 327-33-43']"
"('ТЕРМОС DEXX ДЛЯ НАПИТКОВ, 1000МЛ, 48000-1000',)","TOO ""RBR Engineering""",Алматы,"Наложенный платеж, Наличными",3850.9,"['+7 (707) 621-54-53', '+7 (727) 292-13-91', '+7 (702) 644-61-75', '+7 (777) 394-80-95']"
"('Термос из нержавеющей стали BergHOFF 1,2 л',)",Интернет - магазин Ватцап,Алматы,"Наличный расчет в г. Алматы., Безналичный расчет",4200,"['+7 (727) 296-92-37', '+7 (747) 052-92-23', '+7 (777) 251-82-98']"
"('Термос вакуумный 0,38 л',)",Интернет-магазин приятных покупок LotOk.kz,Алматы,"Наличными, Наложенный платеж или Оплата при получении",2200,"['+7 (700) 308-63-08', '+7 (702) 308-63-08', '+7 (776) 308-63-08', '+7 (727) 346-61-49']"
"('Термос DEXX для напитков, 1000мл, 48000-1000',)",Zubr-shop.kz +7(727) 972-12-96,Алматы,"Наличными, Безналичный расчет",4480,"['+7 (727) 972-12-96', '+7 (747) 273-74-51', '+7 (771) 584-76-00', '+7 (727) 243-24-65']"
"('Новогодний хоровод (комплект из 2 шт.)',)",Интернет - магазин Flap.kz,Костанай,"Безналичный расчет (для организаций), Электронными деньгами (карта, qiwi, касса24)",2288,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Термос ЗУБР ""ЭКСПЕРТ"" туристический, с ручкой, 1000мл',)",InTorg.kz,Алматы,"Оплата на банковскую карту, Наличными",10996,"['+7 (727) 367-30-32', '+7 (705) 800-83-19', '+7 (727) 256-38-89']"
"('Термос пищевой с 3-мя контейнерами + ложка и вилка',)","Интернет-магазин ""Фишка""",Алматы,Безналичный расчет,11750,"['+7 (777) 364-54-71', '+7 (747) 118-27-41']"
"('9660 FISSMAN Термос 1000 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",6950,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('9670 FISSMAN Термос 260 мл (нерж. сталь)',)",Интернет-магазин VPROK.kz,Алматы,"Купить в кредит (Home Credit), Оплата наличными при получении товара. Для всех населенных пунктов Казахстана.",3900,"['+7 (727) 221-90-19', '+7 (705) 904-75-77', '+7 (707) 568-07-08']"
"('Термос универсальный, туристический со складной ручкой, 1500 мл, PALISAD Camping',)",«Pro-Инструмент» - интернет-магазин строительных инструментов со склада.,Алматы,"Безналичный расчет, Наличными",11080,['+7 (707) 251-32-63']
"('Термос металлический со стеклянной колбой 1л',)","Интернет-магазин ""Алтын Рахат"". Товары для дома, красоты, здоровья и спорта.",Астана,"Наложенный платеж, Наличными",2500,['+7 (707) 333-73-00']
"('Термос бутылочка 0,5 л Кролик',)",Wellamart,Алматы,"Безналичный расчет, Наличными",3200,"['+7 (727) 323-11-10', '+7 (776) 246-10-25']"
"('Термос бутылочка',)",Wellamart,Алматы,"Безналичный расчет, Наличными",3200,"['+7 (727) 323-11-10', '+7 (776) 246-10-25']"
"('Термос Гейзер 3л',)",Магазин autoradosti.kz,г. Алматы,"Банковский платеж, Наложенный платеж",12000,"['+7 (707) 868-15-82', '+7 (707) 322-22-15', '+7 (727) 329-18-93']"
"('Термос с широким горлом Арктика 1000мл',)",Оружейный двор,Уральск,"QIWI кошелек, Наличными",7350,"['+7 (711) 228-42-20', '+7 (711) 228-50-50']"
"('Термос туристический, серия ""ПРОФИ""',)",НУРКАРТРЭЙД,Алматы,"Наличными, Безналичный расчет",8330,"['+7 (727) 317-06-25', '+7 (702) 471-96-25', '+7 (701) 988-74-40']"
"(""Термос 'Арктика' с узким горлом 103-1000 (с резиновым напылением зеленый, 1000 мл)"",)",ИП Бабенко,Алматы,"денежные переводы western union или золотая корона, Наличными",11000,"['+7 (727) 273-01-12', '+7 (727) 375-91-40', '+7 (747) 283-87-05']"
"('Термос Wellberg 600 мл, пластиковый корпус, стеклянная колба',)",Интернет - магазин Флап,Костанай,"Электронными деньгами (карта, qiwi, касса24), Безналичный расчет (для организаций)",6253,"['+7 (714) 252-21-78', '+7 (717) 264-20-57', '+7 (727) 312-26-41', '+7 (725) 261-02-24']"
"('Детский Темос',)","интeрнeт-мaгaзин ""ПРИКОЛЫ""",Алматы,"QIWI кошелек, Наличными",6500,['+7 (708) 245-96-67']
"('ТЕРМОС ИЗ НЕРЖАВЕЮЩЕЙ СТАЛИ BERGHOFF 1 Л',)",Интернет магазин AISHASHOP,Астана,"Наличными, Оплата картой Visa, Mastercard - Wooppay",3490,"['+7 (775) 147-16-55', '+7 (777) 035-08-84', '+7 (705) 658-11-85', '+7 (717) 225-55-15']"
"('Термос профессиональный 25 л [105719]',)","Комплексное оснащение баров, ресторанов, кафе",Алматы,"Безналичными, Наличными",55275,"['+7 (747) 094-21-02', '+7 (771) 503-31-40', '+7 (771) 552-28-53']"
"('841-643 VETTA Термос стеклянная колба Tourist 1,00л, 4 цвета 2644H/6',)",Хоттабыч магазин товаров для дома ,Костанай,"Любой компромиссный способ оплаты, Наличными",2800,"['+7 (714) 250-16-76', '+7 (714) 250-29-97', '+7 (714) 254-60-30', '+7 (747) 898-44-10']"
"('Кофейник-термос, нержавеющая сталь, 1л',)",Интернет-магазин Coffeemag.kz,Алматы,"Наличными, Безналичный расчет",14400,['+7 (778) 666-11-33']
"('Термос EMSA 1,2 л для еды, зеленый MOBILITY 512966',)", Универсальный Интернет-магазин DM-Market.kz,Алматы,"Наличными, Безналичный расчет",19663,"['+7 (727) 225-01-09', '+7 (707) 810-86-91', '+7 (707) 810-86-91']"
"('Термос ЗУБР ""ЭКСПЕРТ"" туристический',)","Интернет магазин ""InstrumTorg.kz""",Алматы,"Оплата на карту Банк ""CenterCredit"", Наличными",10996,"['+7 (727) 354-06-46', '+7 (707) 464-79-53']"
"('Термос для чая 0,35 L',)",Лавка Дядюшки Сингфу,Алматы,"Наличными, Безналичный расчет",3400,['+7 (777) 270-22-15']
"('Термос вакуумный «Sports» [350/500 мл] SZM-8063 (Чёрный с голубым / 500 мл)',)",StarShop.kz - уникальные вещи с доставкой на дом,Алматы,"Наличными, Банковской картой VISA, MASTERCARD, AMEX",3990,"['+7 (727) 237-98-88', '+7 (775) 606-07-45', '+7 (717) 269-58-88', '+7 (712) 295-04-44', '+7 (729) 246-86-66']"
"('teplo Набор «Скандик», красный',)",ТОО «БРЕРАС»,Тараз,"Яндекс.Касса, Безналичный расчет",16371,['+7 (708) 455-73-77']
"('Термос ""Пуля"", 550 мл, 7х7х28 см, черный',)",Сима-ленд 2,Екатеринбург,"Наличными, Банковской картой",2768.89,['+7 (707) 377-86-76']
"('Термос бутылочка 0,5 л Кролик',)",Wellshop,Алматы,"Наличными, Безналичный расчет",3200,['+7 (727) 323-11-21']
"('Термос 1,5 л с двойными стенками и складной ручкой PALISAD CAMPING 69533 (002)',)","Это Интернет магазин, где более 20 000 полезных товаров",Алматы,"Наличными, Безналичный расчет",13890,"['+7 (778) 389-96-39', '+7 (778) 389-96-39', '+7 (707) 392-88-25', '+7 (705) 127-71-33', '+7 (727) 229-17-66', '+7 (777) 200-61-81']"
"('Термос 350 мл Фламинго, Алматы ',)","Интернет-магазин  ""Мир покупок""",Алматы,"Оплата банковской картой (Master Card, Visa, Amex) через POS-терминал в магазине в г. Алматы, Наличный расчет (только для г. Алматы)",4375,"['+7 (775) 325-50-91', '+7 (747) 750-38-39', '+7 (776) 284-00-03', '+7 (707) 831-83-02']"
"('Термос 500 мл',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",6800,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос из нержавеющей стали с ремешком 0,5 л. цвет синий',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",9100,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос из нержавеющей стали с ремешком 0,5 л. цвет черный',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",9100,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос разных цветов 0,15 л',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",5400,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос разных цветов 0,25 л',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",5800,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос разных цветов 0,5 л',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",6400,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
"('Термос разных цветов 0,75 л',)","ТОО ""Sergio Group""",Алматы,"Безналичный расчет, Наличными",7000,"['+7 (707) 158-59-09', '+7 (727) 258-59-09', '+7 (727) 258-59-70']"
